092年05月05日 至 110年03月17日 除權除息計算結果表,,,,,,,,,,,,,,
資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
92年07月04日,2423,固緯,18.4,17.4,1,息,18.6,16.2,17.4,17.4,除權息資料,109年第4季,16.04,1.37
92年07月07日,1311,福聚,29.6,28.5,1.1,息,30.4,26.6,28.5,28.5,除權息資料,,,
92年07月07日,2207,和泰車,29.3,27.5,1.8,息,29.4,25.6,27.5,27.5,除權息資料,109年第3季,110.75,18.91
92年07月07日,2330,台積電,62,57.04,4.96,權,61,53.5,57,57.04,除權息資料,109年第4季,71.33,19.97
92年07月07日,2401,凌陽,47.6,40.92,6.68,權息,43.7,38.1,40.9,40.92,除權息資料,109年第3季,13.87,0.23
92年07月07日,2417,圓剛,39.5,34.79,4.712,權息,37.2,32.4,34.8,34.79,除權息資料,109年第3季,19.53,4.84
92年07月07日,2855,統一證,14,13.5,0.5,息,14.4,12.6,13.5,13.5,除權息資料,109年第3季,19.74,1.36
92年07月08日,1535,中宇,8.8,8.5,0.3,息,9.05,7.95,8.5,8.5,除權息資料,109年第4季,23.92,1.6
92年07月08日,1716,永信,26.2,24.7,1.5,息,26.4,23,24.7,24.7,除權息資料,109年第2季,25.99,8.86
92年07月08日,2010,春源,18.6,17.1,1.5,息,18.2,16,17.1,17.1,除權息資料,109年第3季,15.68,0.42
92年07月08日,2032,新鋼,23,22,1,息,23.5,20.5,22,22,除權息資料,109年第3季,12.94,0.46
92年07月08日,2034,允強,21,19.09,1.91,權,20.4,17.8,19.1,19.09,除權息資料,109年第3季,17.43,1.15
92年07月08日,2374,佳能,36.9,35.16,1.74,權息,37.6,32.7,35.2,35.16,除權息資料,109年第3季,20.17,-1.42
92年07月08日,2385,群光,69,56.58,12.42,權息,60.5,53,56.5,56.58,除權息資料,109年第4季,39.55,7.8
92年07月08日,2836,高雄銀,16.4,15.9,0.5,息,17,14.8,15.9,15.9,除權息資料,109年第3季,14.87,0.53
92年07月08日,9937,全國,28.1,26.5,1.6,息,28.3,24.7,26.5,26.5,除權息資料,109年第3季,16.18,1.9
92年07月09日,1525,江申,33.9,30.11,3.79,權息,32.2,28.1,30.1,30.11,除權息資料,109年第3季,56.28,2.74
92年07月09日,1730,花仙子,12.5,12,0.5,息,12.8,11.2,12,12,除權息資料,109年第4季,27.5,5.51
92年07月09日,2015,豐興,24.9,23.43,1.47,權息,25,21.8,23.4,23.43,除權息資料,109年第4季,33.47,4.5
92年07月09日,2029,盛餘,47.5,45.2,2.3,息,48.3,42.1,45.2,45.2,除權息資料,109年第3季,26.93,0.13
92年07月09日,2408,南亞科,30,29.07,0.93,權,31.1,27.1,29.1,29.07,除權息資料,109年第4季,50.02,2.51
92年07月09日,2416,世平,38.2,32.28,5.92,權息,34.5,30.1,32.3,32.28,除權息資料,,,
92年07月09日,2483,百容,25.4,24.4,1,息,26.1,22.7,24.4,24.4,除權息資料,109年第4季,21.68,0.76
92年07月09日,2905,三商,9.75,9.65,0.1,息,10.3,9,9.65,9.65,除權息資料,109年第3季,21.31,0.73
92年07月09日,2910,統領,21.8,21.5,0.3,息,23,20,21.5,21.5,除權息資料,109年第3季,13.14,0.36
92年07月09日,9933,中鼎,22.8,21.8,1,息,23.3,20.3,21.8,21.8,除權息資料,109年第4季,20.77,1.01
92年07月10日,1323,永裕,11.25,10.92,0.33,權,11.65,10.2,10.9,10.92,除權息資料,109年第4季,24.5,3.2
92年07月10日,1734,杏輝,17,15.9,1.1,權息,17,14.8,15.9,15.9,除權息資料,109年第3季,16.09,0.15
92年07月10日,2380,虹光,29.4,27.85,1.5551,權息,29.7,26,27.9,27.85,除權息資料,109年第3季,6.09,-2.31
92年07月10日,2403,友尚,46.1,40.35,5.754643,權息,43.1,37.6,40.4,40.35,除權息資料,,,
92年07月10日,2473,思源,86,65.17,20.83,權息,69.5,61,65,65.17,除權息資料,,,
92年07月10日,3051,力特,70,59.26,10.74,權息,63,55.5,59.5,59.26,除權息資料,109年第3季,3.71,-0.07
92年07月10日,3054,立萬利,67,49.08,17.92,權息,52.5,45.7,49.1,49.08,除權息資料,109年第4季,11.22,-0.16
92年07月10日,9103,美德醫療-DR,20,19.58,0.414,息,20.9,18.3,19.6,19.58,除權息資料,93年第4季,0,0.18
92年07月10日,9919,康那香,13,12.21,0.79,權息,13.05,11.4,12.2,12.21,除權息資料,109年第3季,15.08,3.51
92年07月10日,9940,信義,51.5,42.84,8.66,權息,45.8,39.9,42.8,42.84,除權息資料,109年第4季,15.65,2.11
92年07月11日,1609,大亞,10.1,9.3,0.8,息,9.95,8.65,9.3,9.3,除權息資料,109年第3季,12.73,1.07
92年07月11日,2023,燁輝,31.3,30.7,0.6,息,32.8,28.6,30.7,30.7,除權息資料,109年第3季,13.6,0.16
92年07月11日,2360,致茂,23,20.75,2.25402,權息,22.2,19.3,20.8,20.75,除權息資料,109年第3季,35.74,3.92
92年07月11日,2382,廣達,88.5,77.68,10.82,權息,83,72.5,77.5,77.68,除權息資料,109年第3季,35.6,4.33
92年07月11日,2427,三商電,17.3,15.66,1.64,權,16.7,14.6,15.7,15.66,除權息資料,109年第3季,12,0.57
92年07月11日,2458,義隆,29.2,28,1.2,息,29.9,26.1,28,28,除權息資料,109年第3季,26.85,7.04
92年07月14日,1459,聯發,9.25,8.78,0.47,權息,9.35,8.2,8.8,8.78,除權息資料,109年第3季,8.33,-0.93
92年07月14日,1710,東聯,36.7,33.39,3.31,權息,35.7,31.1,33.4,33.39,除權息資料,109年第3季,14.31,-0.68
92年07月14日,1802,台玻,23.3,21.49,1.81,權息,22.9,20,21.5,21.49,除權息資料,109年第3季,13.84,0.08
92年07月14日,2411,飛瑞,30.1,29.95,0.15,權,32,27.9,30,29.95,除權息資料,,,
92年07月14日,9905,大華,15.7,14.7,1,息,15.7,13.7,14.7,14.7,除權息資料,109年第3季,23.23,1.61
92年07月15日,1232,大統益,21.4,19.6,1.8,息,20.9,18.3,19.6,19.6,除權息資料,109年第4季,28.47,0
92年07月15日,1236,宏亞,14.1,12.85,1.25,權息,13.7,12,12.85,12.85,除權息資料,109年第4季,14.84,0
92年07月15日,1308,亞聚,19.3,18.5,0.8,息,19.7,17.3,18.5,18.5,除權息資料,109年第3季,18.48,0.96
92年07月15日,1727,中華化,9.45,9.25,0.2,息,9.85,8.65,9.25,9.25,除權息資料,109年第4季,11.74,0
92年07月15日,2020,美亞,19.5,17.9,1.6,息,19.1,16.7,17.9,17.9,除權息資料,109年第3季,13.37,1.32
92年07月15日,2303,聯電,26.5,25.42,1.08,權,27.1,23.7,25.4,25.42,除權息資料,109年第4季,19,2.42
92年07月15日,2347,聯強,58.5,51.26,7.24,權息,54.5,47.7,51.5,51.26,除權息資料,109年第4季,32.72,4.89
92年07月15日,2356,英業達,24.5,21.77,2.73,權息,23.2,20.3,21.8,21.77,除權息資料,109年第3季,16.04,1.85
92年07月15日,2478,大毅,35.9,32,3.9,權息,34.2,29.8,32,32,除權息資料,109年第3季,39.26,4.33
92年07月16日,1315,達新,9.9,9.4,0.5,息,10.05,8.75,9.4,9.4,除權息資料,109年第3季,90.48,29.58
92年07月16日,1536,和大,21.7,20.05,1.65,權,21.4,18.7,20.1,20.05,除權息資料,109年第3季,24.34,0.64
92年07月16日,2031,新光鋼,38.9,34.46,4.44,權,36.8,32.1,34.5,34.46,除權息資料,109年第4季,24.89,0
92年07月16日,2392,正崴,77,66.88,10.12,權息,71.5,62.5,67,66.88,除權息資料,109年第3季,47.01,3.06
92年07月16日,2405,浩鑫,64,53.97,10.03,權,57.5,50.5,54,53.97,除權息資料,109年第3季,9.67,-0.06
92年07月16日,2465,麗臺,16.8,15.23,1.57,權,16.2,14.2,15.2,15.23,除權息資料,109年第4季,5.92,0
92年07月16日,3060,銘異,59,52.12,6.88,權息,55.5,48.5,52,52.12,除權息資料,109年第3季,20.94,-1.36
92年07月17日,1233,天仁,16.8,15.63,1.17,權息,16.7,14.55,15.6,15.63,除權息資料,109年第3季,15.95,0.41
92年07月17日,1234,黑松,10.3,9.9,0.4,息,10.55,9.25,9.9,9.9,除權息資料,109年第3季,44.55,1.79
92年07月17日,1326,台化,40.8,37.77,3.03,權,40.4,35.2,37.8,37.77,除權息資料,109年第4季,58.87,3.34
92年07月17日,1723,中碳,42.2,38.79,3.41,權息,41.5,36.1,38.8,38.79,除權息資料,109年第4季,28.15,3.09
92年07月17日,1724,台硝,10.3,9.53,0.7701,權息,10.15,8.9,9.55,9.53,除權息資料,109年第3季,15.19,0.18
92年07月17日,1733,五鼎,38.3,32.73,5.57,權息,35,30.5,32.7,32.73,除權息資料,109年第3季,16.24,0.62
92年07月17日,2105,正新,45.7,41.52,4.18,權息,44.4,38.7,41.5,41.52,除權息資料,109年第3季,23.39,0.87
92年07月17日,2108,南帝,13.75,12.52,1.23,權息,13.35,11.65,12.5,12.52,除權息資料,109年第3季,17.94,3.24
92年07月17日,2366,亞旭,26.9,23.39,3.51,權息,25,21.8,23.4,23.39,除權息資料,,,
92年07月17日,2469,力信,27.9,23.33,4.5753,權息,24.9,21.7,23.3,23.33,除權息資料,,,
92年07月17日,3003,健和興,46.1,40.62,5.482,權息,43.4,37.8,40.6,40.62,除權息資料,109年第3季,30.11,1.81
92年07月17日,3017,奇鋐,34.9,30.76,4.14,權息,32.9,28.7,30.8,30.76,除權息資料,109年第3季,27.7,3.97
92年07月17日,3019,亞光,232,187.8,44.2,權息,200,175,188,187.8,除權息資料,109年第3季,39.7,0.85
92年07月17日,3040,遠見,28,24.69,3.31,權息,26.4,23,24.7,24.69,除權息資料,109年第3季,25.08,5.72
92年07月17日,9914,美利達,14.3,14.02,0.279,息,15,13.05,14,14.02,除權息資料,109年第3季,50.05,9.75
92年07月17日,9918,欣天然,15,14,1,息,14.95,13.05,14,14,除權息資料,109年第3季,16.67,1.25
92年07月18日,1527,鑽全,67,63.4,3.6,權息,67.5,59,63.5,63.4,除權息資料,109年第3季,28.98,2.17
92年07月18日,1722,台肥,19.1,18.1,1,息,19.3,16.9,18.1,18.1,除權息資料,109年第3季,52.08,2.13
92年07月18日,2402,毅嘉,57,46.88,10.12,權,50,43.6,46.9,46.88,除權息資料,109年第3季,18.7,0.22
92年07月18日,2404,漢唐,34.5,31.24,3.26,權息,33.4,29.1,31.2,31.24,除權息資料,109年第3季,47.99,16.52
92年07月18日,2421,建準,19.9,18.14,1.7608,權息,19.4,16.9,18.1,18.14,除權息資料,109年第4季,18.31,3.39
92年07月18日,2459,敦吉,52.5,45.83,6.672,權息,49,42.7,45.8,45.83,除權息資料,109年第3季,41.01,3.25
92年07月18日,2476,鉅祥,25.2,23.38,1.827705,權息,25,21.8,23.4,23.38,除權息資料,109年第4季,25.5,0
92年07月18日,2497,怡利電,27.1,24.36,2.74,權息,26,22.7,24.4,24.36,除權息資料,109年第3季,11.08,-0.77
92年07月18日,2606,裕民,16.4,15.9,0.5,息,17,14.8,15.9,15.9,除權息資料,109年第4季,27.42,1.04
92年07月21日,2477,美隆電,69,49.9,19.1,權息,53,46.5,49.9,49.9,除權息資料,109年第3季,15.09,0.66
92年07月21日,9931,欣高,8.25,7.95,0.3,息,8.5,7.4,7.95,7.95,除權息資料,109年第3季,18.92,1.38
92年07月22日,1313,聯成,15.5,15,0.5,權息,16,13.95,15,15,除權息資料,109年第3季,17.37,0.65
92年07月22日,1460,宏遠,6.05,5.9,0.15,息,6.3,5.5,5.9,5.9,除權息資料,109年第3季,8.95,-0.75
92年07月22日,1467,南緯,13.25,12.61,0.64,權,14.15,11.75,13.25,13.25,除權息資料,109年第3季,12.94,0.4
92年07月22日,2379,瑞昱,73.5,58.33,15.17,權息,62,54.5,58.5,58.33,除權息資料,109年第3季,53.8,12.1
92年07月22日,2610,華航,14.6,13.25,1.35,權,14.15,12.35,13.25,13.25,除權息資料,109年第3季,10.19,-0.37
92年07月22日,2610T,華航丙,13.45,12.17,1.28,權,13,11.35,12.15,12.17,除權息資料,109年第3季,10.19,-0.37
92年07月22日,2617,台航,19.7,17.5,2.2,權息,18.7,16.3,17.5,17.5,除權息資料,109年第3季,24.09,0.83
92年07月22日,2881,富邦金,26.6,25.4,1.1979,息,27.1,23.7,25.4,25.4,除權息資料,109年第3季,57.32,6.38
92年07月22日,3028,增你強,31.4,28.2,3.2,權息,30.1,26.3,28.2,28.2,除權息資料,109年第3季,22.12,1.58
92年07月22日,3041,揚智,46.5,38.79,7.7178,權息,41.5,36.1,38.8,38.79,除權息資料,109年第4季,16.34,-1.26
92年07月22日,3055,蔚華科,25.5,22.55,2.95,權息,24.1,21,22.6,22.55,除權息資料,109年第3季,23.89,0.03
92年07月23日,1210,大成,9.05,8.55,0.5,息,9.1,8,8.55,8.55,除權息資料,109年第3季,24.02,2.94
92年07月23日,1541,錩泰,26.4,23.05,3.35,權息,24.6,21.5,23.1,23.05,除權息資料,109年第3季,20.28,4.2
92年07月23日,1617,榮星,16.2,15.2,1,息,16.2,14.15,15.2,15.2,除權息資料,109年第3季,12.02,0.88
92年07月23日,2331,精英,50.5,37.43,13.07,權息,40,34.9,37.4,37.43,除權息資料,109年第3季,19.81,0.21
92年07月23日,2439,美律,49,47,2,權息,50,43.8,47,47,除權息資料,109年第4季,56.23,6.39
92年07月23日,2457,飛宏,23.4,19.97,3.43,權息,21.3,18.6,20,19.97,除權息資料,109年第4季,14.08,-0.46
92年07月23日,2852,第一保,9.8,9.28,0.52,權,9.9,8.65,9.3,9.28,除權息資料,109年第3季,22.02,0.62
92年07月23日,3031,佰鴻,41.5,35.9,5.6,權息,38.4,33.4,35.9,35.9,除權息資料,109年第3季,14.69,0.51
92年07月23日,3044,健鼎,32.5,29.31,3.19,權息,31.3,27.3,29.3,29.31,除權息資料,109年第4季,68.59,11.65
92年07月23日,3044R,健鼎甲,31.9,29.48,2.42,權,31.5,27.5,29.5,29.48,除權息資料,109年第4季,68.59,11.65
92年07月23日,6128,上福,38.8,33.72,5.08,權息,36,31.4,33.7,33.72,除權息資料,109年第3季,24.59,0.57
92年07月24日,1513,中興電,11,10.37,0.63,息,11.05,9.65,10.35,10.37,除權息資料,109年第3季,22.18,1.69
92年07月24日,1539,巨庭,16.4,15.8,0.6,息,16.9,14.7,15.8,15.8,除權息資料,109年第3季,19.47,0.08
92年07月24日,2002,中鋼,27.1,25.24,1.86,權息,27,23.5,25.2,25.24,除權息資料,109年第4季,18.98,0.05
92年07月24日,2002A,中鋼特,29,27.22,1.78,權息,29.1,25.4,27.2,27.22,除權息資料,109年第4季,18.98,0.05
92年07月24日,2106,建大,32.9,30.18,2.72,權息,32.2,28.1,30.2,30.18,除權息資料,109年第3季,20.49,0.67
92年07月24日,2201,裕隆,40.5,39,1.5,息,41.7,36.3,39,39,除權息資料,109年第3季,47.55,1.54
92年07月24日,2204,中華,66,60.73,5.27,權息,64.5,56.5,60.5,60.73,除權息資料,109年第3季,74.17,4.52
92年07月24日,2204V,中華戊,66,59.57,6.43,權,63.5,55.5,59.5,59.57,除權息資料,109年第3季,74.17,4.52
92年07月24日,2301,光寶科,41.3,34,7.3,權息,36.3,31.7,34,34,除權息資料,109年第4季,31.67,4.31
92年07月24日,2428,興勤,24.8,22.74,2.06,權息,24.3,21.2,22.7,22.74,除權息資料,109年第3季,52.79,7.47
92年07月24日,2468,華經,12.65,11.81,0.84,權,12.6,11,11.8,11.81,除權息資料,109年第3季,16.33,0.58
92年07月24日,2470,品佳,29.9,27.36,2.54,權息,29.2,25.5,27.4,27.36,除權息資料,,,
92年07月24日,2486,一詮,23.2,22.13,1.07,權,23.6,20.6,22.1,22.13,除權息資料,109年第3季,14.28,-0.39
92年07月24日,2887,台新金,17.7,16.7,1,息,17.8,15.6,16.7,16.7,除權息資料,109年第4季,15.88,1.17
92年07月24日,2890,永豐金,12.4,11.75,0.65,息,12.55,10.95,11.75,11.75,除權息資料,109年第3季,13.38,0.82
92年07月24日,3013,晟銘電,22.8,19.16,3.6429,權息,20.5,17.9,19.2,19.16,除權息資料,109年第3季,15.19,0.55
92年07月24日,3057,喬鼎,74,58.69,15.31,權息,62.5,55,58.5,58.69,除權息資料,109年第3季,9.69,-0.34
92年07月25日,2384,勝華,30.1,26.69,3.41,權息,28.5,24.9,26.7,26.69,除權息資料,109年第2季,-9.24,-0.19
92年07月25日,3020,奇普仕,43.9,38.24,5.66067,權息,40.9,35.6,38.2,38.24,除權息資料,,,
92年07月25日,3021,鴻名,17.7,16.82,0.88,權,17.9,15.7,16.8,16.82,除權息資料,109年第3季,13.24,0.88
